,년도,영업상태코드,X,Y,시설총규모,업소위치분기,영업기간,distance,창업월,구_1_25,프랜차이즈여부_02,sub_1_9
71,1992.0,2,126.9833646,37.56995122,31.45,1,2291,0.03631,10,23,0,01
74,1992.0,2,127.0199557,37.57433577,66.8,1,2480,0.34173000000000003,10,23,0,06
75,1992.0,2,126.98299990000001,37.57299588,91.95,1,951,0.3087,6,23,0,01
79,1992.0,2,126.98613529999999,37.57163405,25.74,1,2213,0.30764,10,23,0,01
80,1992.0,2,126.9955416,37.58314763,82.34,1,3058,0.57613,6,23,0,04
81,1992.0,2,126.96884540000002,37.57926671,42.57,1,3062,0.57471,8,23,0,03
82,1992.0,2,126.98437539999999,37.57106065,65.16,1,1890,0.1438,12,23,0,01
83,1992.0,2,126.9826933,37.56925661,171.48,1,2051,0.11412,8,23,0,01
84,1992.0,2,126.9709124,37.57040341,46.97,1,1070,0.50374,2,23,0,05
87,1992.0,2,127.00718459999999,37.57180629,147.96,1,1437,0.30301,7,23,0,04
88,1992.0,2,126.996518,37.58387533,61.04,1,1439,0.51891,5,23,0,04
89,1992.0,2,126.98448940000002,37.56876331,70.68,1,1496,0.20142000000000002,2,23,0,01
90,1992.0,2,127.0003649,37.58297368,90.35,1,768,0.17319,10,23,0,04
91,1992.0,2,126.9885101,37.57236515,49.67,1,3431,0.38642,1,23,0,03
93,1992.0,2,127.0003791,37.58160931,87.31,1,1603,0.14385,9,23,0,04
94,1992.0,2,127.0011341,37.58123546,96.31,1,1933,0.11215,10,23,0,04
95,1992.0,2,126.99330359999999,37.56939118,10.88,1,4276,0.15345999999999999,1,23,0,03
96,1992.0,1,126.9935082,37.56933541,14.2,1,10261,0.17035,11,23,0,03
97,1992.0,2,126.99971869999999,37.58159473,228.23,1,764,0.20021,12,23,0,04
98,1992.0,2,126.9947094,37.5840027,125.1,1,2083,0.67272,9,23,0,04
99,1992.0,2,126.99956370000001,37.58250114,180.61,1,1632,0.21465,1,23,0,04
101,1992.0,2,126.9936886,37.58789582,43.37,1,1400,0.9760700000000001,11,23,0,04
102,1992.0,2,126.96925890000001,37.57059036,9.24,1,2549,0.58599,4,23,0,05
103,1992.0,2,126.98390790000002,37.56925649,106.92,1,3294,0.12717,5,23,0,01
104,1992.0,2,127.00102659999999,37.57295402,30.48,1,2410,0.2261,11,23,0,01
106,1992.0,2,126.97184850000001,37.57119039,49.35,1,1545,0.40513000000000005,5,23,0,05
107,1992.0,2,126.9854162,37.57203096,75.77,1,1493,0.2845,4,23,0,01
108,1992.0,2,126.99816770000001,37.58477068,21.12,1,141,0.45027,1,23,0,04
109,1992.0,2,126.981766,37.5726674,124.39,1,396,0.29746999999999996,1,23,0,01
110,1992.0,2,126.99858390000001,37.58297147,79.75,1,692,0.31259000000000003,1,23,0,04
111,1992.0,2,126.95638740000001,37.59973208,16.91,1,1018,1.98543,3,23,0,03
112,1992.0,2,126.9812277,37.57534383,43.34,1,354,0.39086,3,23,0,03
113,1992.0,2,126.98227390000001,37.56995425,187.9,1,1015,0.08141,4,23,0,01
114,1992.0,2,126.9838824,37.57251287,67.18,1,763,0.26316999999999996,6,23,0,01
115,1992.0,2,126.9951355,37.58265761,70.72,1,441,0.60236,7,23,0,04
116,1992.0,2,126.98247260000001,37.57360305,31.72,1,6658,0.38048000000000004,11,23,0,01
117,1992.0,2,126.99795559999998,37.58479917,108.57,1,130,0.46628000000000003,8,23,0,04
118,1992.0,2,126.9596618,37.59752367,119.84,1,4896,1.8602299999999998,8,23,0,03
119,1992.0,2,126.96501090000002,37.56743342,57.11,1,223,0.23555,9,23,0,05
